"Date","Price","Open","High","Low","Vol.","Change %"
"08/09/2022","192.185","192.185","192.185","192.185","","-0.45%"
"08/08/2022","193.055","193.055","193.055","193.055","","-1.66%"
"08/05/2022","196.320","196.320","196.320","196.320","","-1.47%"
"08/04/2022","199.250","199.250","199.250","199.250","","0.03%"
"08/03/2022","199.195","199.195","199.195","199.195","","-2.91%"
"08/02/2022","205.175","205.175","205.175","205.175","","2.18%"
"08/01/2022","200.795","200.795","200.795","200.795","","5.18%"
"07/29/2022","190.915","190.915","190.915","190.915","","-4.03%"
"07/28/2022","198.930","198.930","198.930","198.930","","-3.07%"
"07/27/2022","205.225","205.225","205.225","205.225","","2.65%"
"07/26/2022","199.920","199.920","199.920","199.920","","13.20%"
"07/25/2022","176.615","176.615","176.615","176.615","","10.48%"
"07/22/2022","159.865","159.865","159.865","159.865","","2.74%"
"07/21/2022","155.600","155.600","155.600","155.600","","0.36%"
"07/20/2022","155.040","155.040","155.040","155.040","","0.38%"
"07/19/2022","154.455","154.455","154.455","154.455","","-1.78%"
"07/18/2022","157.260","157.260","157.260","157.260","","-1.44%"
"07/15/2022","159.565","159.565","159.565","159.565","","-8.84%"
"07/14/2022","175.035","175.035","175.035","175.035","","-3.03%"
"07/13/2022","180.505","180.505","180.505","180.505","","4.57%"
"07/12/2022","172.610","172.610","172.610","172.610","","4.92%"
"07/11/2022","164.520","164.520","164.520","164.520","","-6.10%"
"07/08/2022","175.210","175.210","175.210","175.210","","-4.35%"
"07/07/2022","183.185","183.185","183.185","183.185","","7.13%"
"07/06/2022","171.000","171.000","171.000","171.000","","3.59%"
"07/05/2022","165.075","165.075","165.075","165.075","","11.70%"
"07/01/2022","147.785","147.785","147.785","147.785","","2.26%"
"06/30/2022","144.515","144.515","144.515","144.515","","3.53%"
"06/29/2022","139.588","139.588","139.588","139.588","","8.06%"
"06/28/2022","129.175","129.175","129.175","129.175","","-0.22%"
"06/27/2022","129.460","129.460","129.460","129.460","","0.74%"
"06/24/2022","128.505","128.505","128.505","128.505","","-3.63%"
"06/23/2022","133.345","133.345","133.345","133.345","","4.86%"
"06/22/2022","127.170","127.170","127.170","127.170","","1.28%"
"06/21/2022","125.560","125.560","125.560","125.560","","6.64%"
"06/17/2022","117.740","117.740","117.740","117.740","","-5.33%"
"06/16/2022","124.365","124.365","124.365","124.365","","3.35%"
"06/15/2022","120.330","120.330","120.330","120.330","","24.00%"
"06/14/2022","97.040","97.040","97.040","97.040","","16.35%"
"06/13/2022","83.400","83.400","83.400","83.400","","1.13%"
"06/10/2022","82.465","82.465","82.465","82.465","","-2.85%"
"06/09/2022","84.880","84.880","84.880","84.880","","6.90%"
"06/08/2022","79.405","79.405","79.405","79.405","","-0.26%"
"06/07/2022","79.610","80.410","81.020","80.410","0.01K","-3.57%"
"06/06/2022","82.560","83.005","83.005","83.005","0.02K","-0.65%"
"06/03/2022","83.100","83.100","83.100","83.100","","-1.01%"
"06/02/2022","83.945","83.945","83.945","83.945","","-1.88%"
"06/01/2022","85.550","85.550","85.550","85.550","","-8.99%"
"05/31/2022","94.005","94.005","94.005","94.005","","8.21%"
"05/27/2022","86.875","86.250","86.250","86.250","0.01K","1.05%"
"05/26/2022","85.970","85.970","85.970","85.970","","-2.40%"
"05/25/2022","88.080","85.625","86.125","84.840","0.05K","4.23%"
"05/24/2022","84.505","86.875","86.875","86.875","0.01K","1.46%"
"05/23/2022","83.290","85.220","85.220","85.220","0.01K","-5.24%"
"05/20/2022","87.900","87.900","87.900","87.900","","-3.43%"
"05/19/2022","91.025","91.025","91.025","91.025","","-3.72%"
"05/18/2022","94.540","96.475","96.475","96.475","0.01K","0.39%"
"05/17/2022","94.175","94.175","94.175","94.175","","1.42%"
"05/16/2022","92.860","92.860","92.860","92.860","","-4.15%"
"05/13/2022","96.880","96.880","96.880","96.880","","-9.20%"
"05/12/2022","106.700","106.700","106.700","106.700","","13.50%"
"05/11/2022","94.010","94.010","94.010","94.010","","-4.85%"
"05/10/2022","98.800","98.800","98.800","98.800","","5.35%"
"05/09/2022","93.785","96.315","96.315","95.000","0.05K","-7.79%"
"05/06/2022","101.710","101.710","101.710","101.710","","-4.51%"
"05/05/2022","106.510","106.510","106.510","106.510","","2.59%"
"05/04/2022","103.820","103.820","103.820","103.820","","4.42%"
"05/03/2022","99.425","99.425","99.425","99.425","","2.45%"
"05/02/2022","97.050","97.050","97.050","97.050","","-2.41%"
"04/29/2022","99.450","99.450","99.450","99.450","","-0.69%"
"04/28/2022","100.142","100.142","100.142","100.142","","-6.78%"
"04/27/2022","107.425","107.425","107.425","107.425","","4.08%"
